sample-id,score,group
ERR1089711,0.8309,OTHER
ERR1089718,0.7874,OTHER
ERR1089730,0.7228,NORMAL
ERR1089737,0.8244,OTHER
ERR1089740,0.6512,NORMAL
ERR1089745,0.8832,OTHER
ERR1089758,0.6033,NORMAL
ERR1089772,0.7448,OTHER
ERR1089786,0.6689,NORMAL
ERR1089793,0.8353,OTHER
ERR1089794,0.8603,OTHER
ERR1089795,0.7303,OTHER
ERR1089797,0.7036,NORMAL
ERR1089798,0.6276,NORMAL
ERR1089800,0.8724,OTHER
ERR1089802,0.7387,OTHER
ERR1089808,0.7723,OTHER
ERR1089810,0.5937,NORMAL
ERR1089816,0.6392,NORMAL
ERR1089818,0.6953,NORMAL
ERR1089820,0.7801,OTHER
ERR1089826,0.7462,OTHER
ERR1089827,0.8948,DEVIANT
ERR1089828,0.6233,NORMAL
ERR1089840,0.8197,OTHER
ERR1089845,0.7786,OTHER
ERR1089847,0.6656,NORMAL
ERR1089849,0.6627,NORMAL
ERR1089859,0.7943,OTHER
ERR1089860,0.8015,OTHER
ERR1089861,0.7473,OTHER
ERR1089863,0.7782,OTHER
ERR1089865,0.7385,OTHER
ERR1089867,0.7164,NORMAL
ERR1089871,0.7368,OTHER
ERR1089873,0.7422,OTHER
ERR1089881,0.6969,NORMAL
ERR1089888,0.7135,NORMAL
ERR1089891,0.8378,OTHER
ERR1089897,0.74,OTHER
ERR1089900,0.8242,OTHER
ERR1089901,0.8046,OTHER
ERR1089915,0.6807,NORMAL
ERR1089931,0.6504,NORMAL
ERR1089932,0.6967,NORMAL
ERR1089933,0.8065,OTHER
ERR1089934,0.7125,NORMAL
ERR1089937,0.7807,OTHER
ERR1089940,0.8065,OTHER
ERR1089942,0.8049,OTHER
ERR1089953,0.7349,OTHER
ERR1089954,0.7725,OTHER
ERR1089960,0.852,OTHER
ERR1089961,0.6724,NORMAL
ERR1089964,0.6796,NORMAL
ERR1089966,0.6864,NORMAL
ERR1089972,0.7422,OTHER
ERR1089978,0.8042,OTHER
ERR1089985,0.6972,NORMAL
ERR1089986,0.7678,OTHER
ERR1089988,0.6885,NORMAL
ERR1089991,0.707,NORMAL
ERR1089994,0.6723,NORMAL
ERR1089995,0.801,OTHER
ERR1090000,0.7178,NORMAL
ERR1090002,0.6128,NORMAL
ERR1090009,0.6497,NORMAL
ERR1090015,0.6707,NORMAL
ERR1090016,0.6859,NORMAL
ERR1090020,0.7951,OTHER
ERR1090021,0.7763,OTHER
ERR1090027,0.7299,OTHER
ERR1090030,0.7471,OTHER
ERR1090032,0.8044,OTHER
ERR1090033,0.8181,OTHER
ERR1090036,0.6501,NORMAL
ERR1090037,0.5565,NORMAL
ERR1090040,0.7973,OTHER
ERR1090041,0.6879,NORMAL
ERR1090044,0.7635,OTHER
ERR1090048,0.8391,OTHER
ERR1090049,0.7231,NORMAL
ERR1090051,0.5686,NORMAL
ERR1090061,0.8683,OTHER
ERR1090063,0.9126,DEVIANT
ERR1090064,0.7866,OTHER
ERR1090069,0.7332,OTHER
ERR1090072,0.652,NORMAL
ERR1090074,0.8373,OTHER
ERR1090076,0.6914,NORMAL
ERR1090086,0.7238,NORMAL
ERR1090087,0.8154,OTHER
ERR1090092,0.6623,NORMAL
ERR1090097,0.6757,NORMAL
ERR1090108,0.6165,NORMAL
ERR1090113,0.6358,NORMAL
ERR1090120,0.7456,OTHER
ERR1090124,0.9122,DEVIANT
ERR1090127,0.7874,OTHER
ERR1090129,0.643,NORMAL
ERR1090133,0.8115,OTHER
ERR1090147,0.771,OTHER
ERR1090149,0.6685,NORMAL
ERR1090152,0.8442,OTHER
ERR1090154,0.7796,OTHER
ERR1090155,0.8249,OTHER
ERR1090157,0.7342,OTHER
ERR1090228,0.6516,NORMAL
ERR1090260,0.6819,NORMAL
ERR1090280,0.698,NORMAL
ERR1090287,0.7758,OTHER
ERR1090291,0.8399,OTHER
ERR1090292,0.803,OTHER
ERR1090293,0.795,OTHER
ERR1090294,0.8726,OTHER
ERR1090295,0.6347,NORMAL
ERR1090296,0.8244,OTHER
ERR1090297,0.6805,NORMAL
ERR1090298,0.6921,NORMAL
ERR1090299,0.8329,OTHER
ERR1090300,0.8577,OTHER
ERR1090302,0.7144,NORMAL
ERR1090303,0.7903,OTHER
ERR1090304,0.7116,NORMAL
ERR1090305,0.6723,NORMAL
ERR1090307,0.7665,OTHER
ERR1090308,0.6736,NORMAL
ERR1090310,0.8856,OTHER
ERR1090312,0.7009,NORMAL
ERR1090313,0.8945,DEVIANT
ERR1090314,0.6851,NORMAL
ERR1090315,0.7193,NORMAL
ERR1090316,0.8288,OTHER
ERR1090318,0.8883,OTHER
ERR1090319,0.63,NORMAL
ERR1090320,0.7393,OTHER
ERR1090321,0.8547,OTHER
ERR1090322,0.7253,NORMAL
ERR1090323,0.6583,NORMAL
ERR1090326,0.7179,NORMAL
ERR1090328,0.8536,OTHER
ERR1090329,0.8626,OTHER
ERR1090331,0.9145,DEVIANT
ERR1090332,0.8362,OTHER
ERR1090339,0.6772,NORMAL
ERR1090354,0.7018,NORMAL
ERR1090355,0.6247,NORMAL
ERR1090359,0.7226,NORMAL
ERR1090360,0.7338,OTHER
ERR1090363,0.619,NORMAL
ERR1090368,0.6701,NORMAL
ERR1090375,0.6632,NORMAL
ERR1090382,0.82,OTHER
ERR1090383,0.6503,NORMAL
ERR1090388,0.5872,NORMAL
ERR1090390,0.9951,DEVIANT
ERR1090398,0.8366,OTHER
ERR1090402,0.802,OTHER
ERR1090404,0.7165,NORMAL
ERR1090407,0.6687,NORMAL
ERR1090409,0.7012,NORMAL
ERR1090410,0.7138,NORMAL
ERR1090416,0.8332,OTHER
ERR1090421,0.7661,OTHER
ERR1090422,0.7421,OTHER
ERR1090423,0.6585,NORMAL
ERR1090425,0.6683,NORMAL
ERR1090435,0.7278,OTHER
ERR1090436,0.6483,NORMAL
ERR1090448,0.9075,DEVIANT
ERR1090453,0.921,DEVIANT
ERR1090455,0.6506,NORMAL
ERR1090461,0.9522,DEVIANT
ERR1090470,0.7432,OTHER
ERR1090487,0.6223,NORMAL
ERR1090509,0.8333,OTHER
ERR1090510,0.914,DEVIANT
ERR1090512,0.754,OTHER
ERR1090513,0.7186,NORMAL
ERR1090514,0.7189,NORMAL
ERR1090515,0.7458,OTHER
ERR1090516,0.7208,NORMAL
ERR1090517,0.7396,OTHER
ERR1090518,0.8936,DEVIANT
ERR1090519,0.7316,OTHER
ERR1090521,0.7501,OTHER
ERR1090522,0.8877,OTHER
ERR1090523,0.8871,OTHER
ERR1090531,0.7614,OTHER
ERR1090535,0.7104,NORMAL
ERR1090538,0.9941,DEVIANT
ERR1090539,0.7457,OTHER
ERR1090549,0.5715,NORMAL
ERR1090550,0.6935,NORMAL
ERR1090551,0.7129,NORMAL
ERR1090552,0.6543,NORMAL
ERR1090555,0.8391,OTHER
ERR1090556,0.563,NORMAL
ERR1090557,0.8264,OTHER
ERR1090558,0.9303,DEVIANT
ERR1090561,0.8993,DEVIANT
ERR1090563,0.7052,NORMAL
ERR1090564,0.83,OTHER
ERR1090565,0.7814,OTHER
ERR1090566,0.8238,OTHER
ERR1090567,0.8719,OTHER
ERR1090568,0.7601,OTHER
ERR1090569,0.6901,NORMAL
ERR1090570,0.7659,OTHER
ERR1090571,0.7582,OTHER
ERR1090573,0.7473,OTHER
ERR1090574,0.8316,OTHER
ERR1090575,0.7838,OTHER
ERR1090576,0.6895,NORMAL
ERR1090577,0.7145,NORMAL
ERR1090578,0.6906,NORMAL
ERR1090579,0.7295,OTHER
ERR1090580,0.8299,OTHER
ERR1090581,0.6311,NORMAL
ERR1090583,0.8711,OTHER
ERR1090584,0.6732,NORMAL
ERR1090589,0.7142,NORMAL
ERR1090590,0.8614,OTHER
ERR1090598,0.7069,NORMAL
ERR1090612,0.7566,OTHER
ERR1090613,0.6801,NORMAL
ERR1090614,0.7407,OTHER
ERR1090634,0.7484,OTHER
ERR1090643,0.7152,NORMAL
ERR1090645,0.7973,OTHER
ERR1090649,0.8507,OTHER
ERR1090655,0.6881,NORMAL
ERR1090661,0.7309,OTHER
ERR1090663,0.7218,NORMAL
ERR1090667,0.5955,NORMAL
ERR1090671,0.7559,OTHER
ERR1090674,0.7368,OTHER
ERR1090675,0.7591,OTHER
ERR1090677,0.7208,NORMAL
ERR1090679,0.7788,OTHER
ERR1090682,0.7668,OTHER
ERR1090692,0.6255,NORMAL
ERR1090696,0.7198,NORMAL
ERR1090708,0.6333,NORMAL
ERR1090709,0.7464,OTHER
ERR1090711,0.7201,NORMAL
ERR1090712,0.7258,OTHER
ERR1090715,0.733,OTHER
ERR1090718,0.8038,OTHER
ERR1090722,0.6509,NORMAL
ERR1090783,0.83,OTHER
ERR1090787,0.7391,OTHER
ERR1090802,0.7186,NORMAL
ERR1090803,0.5384,NORMAL
ERR1090808,0.6404,NORMAL
ERR1090809,0.8179,OTHER
ERR1090822,0.6695,NORMAL
ERR1090824,0.8285,OTHER
ERR1090839,0.6581,NORMAL
ERR1090845,0.5759,NORMAL
ERR1090848,0.711,NORMAL
ERR1090854,0.6418,NORMAL
ERR1090858,0.6532,NORMAL
ERR1090860,0.7656,OTHER
ERR1090869,0.6801,NORMAL
ERR1090877,0.8046,OTHER
ERR1090880,0.7224,NORMAL
ERR1090884,0.7189,NORMAL
ERR1090887,0.6968,NORMAL
ERR1090888,0.6028,NORMAL
ERR1090889,0.7027,NORMAL
ERR1090890,0.6129,NORMAL
ERR1090895,0.7562,OTHER
ERR1090899,0.6738,NORMAL
ERR1090900,0.7046,NORMAL
ERR1090901,0.7456,OTHER
ERR1090902,0.7584,OTHER
ERR1090914,0.6494,NORMAL
ERR1090915,0.7573,OTHER
ERR1090918,0.7385,OTHER
ERR1090925,0.7245,NORMAL
ERR1090931,0.7983,OTHER
ERR1090939,0.6432,NORMAL
ERR1090943,0.6952,NORMAL
ERR1090949,0.7149,NORMAL
ERR1090953,0.8999,DEVIANT
ERR1090960,0.7316,OTHER
ERR1090963,0.6121,NORMAL
ERR1090965,0.6552,NORMAL
ERR1090969,0.7643,OTHER
ERR1090972,0.7362,OTHER
ERR1090973,0.7336,OTHER
ERR1090982,0.6483,NORMAL
ERR1090990,0.6817,NORMAL
ERR1090996,0.7653,OTHER
ERR1091002,0.6869,NORMAL
ERR1091004,0.7726,OTHER
ERR1091008,0.7183,NORMAL
ERR1091014,0.5566,NORMAL
ERR1091016,0.6444,NORMAL
ERR1091018,0.7336,OTHER
ERR1091019,0.5976,NORMAL
ERR1091020,0.7652,OTHER
ERR1091028,0.7049,NORMAL
ERR1091029,0.6794,NORMAL
ERR1091035,0.5531,NORMAL
ERR1091036,0.7018,NORMAL
ERR1091048,0.8341,OTHER
ERR1091050,0.683,NORMAL
ERR1091051,0.8841,OTHER
ERR1091055,0.7391,OTHER
ERR1091067,0.8087,OTHER
ERR1091068,0.6231,NORMAL
ERR1091072,0.918,DEVIANT
ERR1091089,0.6056,NORMAL
ERR1091091,0.8357,OTHER
ERR1091097,0.6946,NORMAL
ERR1091098,0.787,OTHER
ERR1091110,0.6919,NORMAL
ERR1091114,0.8143,OTHER
ERR1091116,0.6703,NORMAL
ERR1091118,0.5846,NORMAL
ERR1091123,0.6813,NORMAL
ERR1091125,0.7545,OTHER
ERR1091130,0.741,OTHER
ERR1091131,0.7186,NORMAL
ERR1091141,0.7367,OTHER
ERR1091152,0.91,DEVIANT
ERR1091160,0.6747,NORMAL
ERR1091166,0.7462,OTHER
ERR1091171,0.797,OTHER
ERR1091177,0.5379,NORMAL
ERR1091180,0.7439,OTHER
ERR1091183,0.7305,OTHER
ERR1091186,0.6464,NORMAL
ERR1091187,0.6768,NORMAL
ERR1091191,0.6086,NORMAL
ERR1091193,0.5898,NORMAL
ERR1091198,0.7017,NORMAL
ERR1091200,0.6168,NORMAL
ERR1091267,0.6592,NORMAL
ERR1091272,0.9913,DEVIANT
ERR1091273,0.8193,OTHER
ERR1091275,0.6841,NORMAL
ERR1091281,0.8206,OTHER
ERR1091282,0.595,NORMAL
ERR1091287,0.6893,NORMAL
ERR1091288,0.7354,OTHER
ERR1091290,0.7091,NORMAL
ERR1091291,0.732,OTHER
ERR1091292,0.8219,OTHER
ERR1091294,0.8068,OTHER
ERR1091313,0.6584,NORMAL
ERR1091314,0.6541,NORMAL
ERR1091325,0.7178,NORMAL
ERR1091326,0.6913,NORMAL
ERR1091329,0.7959,OTHER
ERR1091332,0.801,OTHER
ERR1091333,0.7137,NORMAL
ERR1091347,0.5996,NORMAL
ERR1091349,0.7497,OTHER
ERR1091352,0.6469,NORMAL
ERR1091365,0.7462,OTHER
ERR1091367,0.6514,NORMAL
ERR1091371,0.6501,NORMAL
ERR1091372,0.7575,OTHER
ERR1091378,0.6423,NORMAL
ERR1091382,0.6892,NORMAL
ERR1091384,0.7442,OTHER
ERR1091386,0.8484,OTHER
ERR1091388,0.6869,NORMAL
ERR1091389,0.731,OTHER
ERR1091398,0.8504,OTHER
ERR1091401,0.7015,NORMAL
ERR1091416,0.8281,OTHER
ERR1091417,0.7008,NORMAL
ERR1091421,0.6045,NORMAL
ERR1091427,0.7335,OTHER
ERR1091432,0.8818,OTHER
ERR1091439,0.7216,NORMAL
ERR1091454,0.8165,OTHER
ERR1091455,0.6602,NORMAL
ERR1091463,0.6165,NORMAL
ERR1091471,0.6407,NORMAL
ERR1091475,0.6553,NORMAL
ERR1091480,0.65,NORMAL
ERR1091484,0.712,NORMAL
ERR1091488,0.7193,NORMAL
ERR1091515,0.6408,NORMAL
ERR1091535,0.5807,NORMAL
ERR1091551,0.6201,NORMAL
ERR1091553,0.6715,NORMAL
ERR1091559,0.6538,NORMAL
ERR1091570,0.7409,OTHER
ERR1091593,0.607,NORMAL
ERR1091594,0.7464,OTHER
ERR1091595,0.6869,NORMAL
ERR1091607,0.6912,NORMAL
ERR1091608,0.5261,NORMAL
ERR1091611,0.7143,NORMAL
ERR1091617,0.7196,NORMAL
ERR1091622,0.7983,OTHER
ERR1091626,0.6622,NORMAL
ERR1091631,0.6659,NORMAL
ERR1091634,0.6998,NORMAL
ERR1091638,0.5276,NORMAL
ERR1091652,0.6347,NORMAL
ERR1091658,0.7265,OTHER
ERR1091660,0.7501,OTHER
ERR1091662,0.7174,NORMAL
ERR1091672,0.6813,NORMAL
ERR1091674,0.6494,NORMAL
ERR1091676,0.7026,NORMAL
ERR1091679,0.5693,NORMAL
ERR1091681,0.7638,OTHER
ERR1091683,0.622,NORMAL
ERR1091690,0.8273,OTHER
ERR1091693,0.7594,OTHER
ERR1091694,0.7662,OTHER
ERR1091700,0.8815,OTHER
ERR1091707,0.7263,OTHER
ERR1091710,0.6988,NORMAL
ERR1091715,0.6405,NORMAL
ERR1091717,0.845,OTHER
ERR1091718,0.6962,NORMAL
ERR1091721,0.675,NORMAL
ERR1091723,0.5688,NORMAL
ERR1091727,0.7215,NORMAL
ERR1091737,0.9188,DEVIANT
ERR1091742,0.665,NORMAL
ERR1091750,0.6229,NORMAL
ERR1091753,0.7392,OTHER
ERR1091762,0.6986,NORMAL
ERR1091763,0.7163,NORMAL
ERR1091769,0.7403,OTHER
ERR1091773,0.7964,OTHER
ERR1091781,0.8002,OTHER
ERR1091786,0.8784,OTHER
ERR1091788,0.6943,NORMAL
ERR1091791,0.8091,OTHER
ERR1091792,0.7569,OTHER
ERR1091798,0.8094,OTHER
ERR1091803,0.7179,NORMAL
ERR1091805,0.7604,OTHER
ERR1091811,0.7472,OTHER
ERR1091812,0.8171,OTHER
ERR1091813,0.7313,OTHER
ERR1091816,0.7239,NORMAL
ERR1091819,0.7881,OTHER
ERR1091821,0.8034,OTHER
ERR1091825,0.7596,OTHER
ERR1091826,0.8163,OTHER
ERR1091827,0.8757,OTHER
ERR1091832,0.7478,OTHER
ERR1091837,0.7653,OTHER
ERR1233443,0.7141,NORMAL
ERR1233446,0.6712,NORMAL
ERR1233449,0.8066,OTHER
ERR1233459,0.932,DEVIANT
ERR1249644,0.9491,DEVIANT
ERR1249651,0.7698,OTHER
ERR1249655,0.7074,NORMAL
ERR1249656,0.5977,NORMAL
ERR1249666,0.747,OTHER
ERR1249670,0.6243,NORMAL
ERR1249672,0.8061,OTHER
ERR1249673,0.6479,NORMAL
ERR1249678,0.7551,OTHER
ERR1249682,0.8738,OTHER
ERR1249688,0.6425,NORMAL
ERR1249692,0.8967,DEVIANT
ERR1249696,0.8065,OTHER
ERR1249697,0.6952,NORMAL
ERR1249702,0.6523,NORMAL
ERR1249704,0.607,NORMAL
ERR1249717,0.7234,NORMAL
ERR1249719,0.8979,DEVIANT
ERR1249720,0.8273,OTHER
ERR1249733,0.6604,NORMAL
ERR1249734,0.6762,NORMAL
ERR1249735,0.729,OTHER
ERR1249736,0.7361,OTHER
ERR1249738,0.757,OTHER
ERR1249739,0.7802,OTHER
ERR1249740,0.6519,NORMAL
ERR1249742,0.8194,OTHER
ERR1249743,0.8382,OTHER
ERR1249744,0.6197,NORMAL
ERR1249747,0.5846,NORMAL
ERR1249748,0.7701,OTHER
ERR1249751,0.7436,OTHER
ERR1249755,0.8127,OTHER
ERR1249767,0.8354,OTHER
ERR1249768,0.5299,NORMAL
ERR1249777,0.7472,OTHER
ERR1249793,0.622,NORMAL
ERR1249828,0.7363,OTHER
ERR1249835,0.7244,NORMAL
ERR1249839,0.5786,NORMAL
ERR1249842,0.6615,NORMAL
ERR1249849,0.7435,OTHER
ERR1249857,0.6775,NORMAL
ERR1249858,0.6919,NORMAL
ERR1249859,0.7479,OTHER
ERR1249861,0.7738,OTHER
ERR1249863,0.8945,DEVIANT
ERR1249864,0.7307,OTHER
ERR1249865,0.6636,NORMAL
ERR1249866,0.7244,NORMAL
ERR1249869,0.7485,OTHER
ERR1249870,0.6081,NORMAL
ERR1249871,0.6722,NORMAL
ERR1249872,0.8862,OTHER
ERR1249875,0.7909,OTHER
ERR1249876,0.8028,OTHER
ERR1249878,0.7081,NORMAL
ERR1249879,0.7236,NORMAL
ERR1249880,0.8217,OTHER
ERR1249881,0.6178,NORMAL
ERR1249885,0.6845,NORMAL
ERR1249886,0.795,OTHER
ERR1249887,0.7127,NORMAL
ERR1249889,0.8189,OTHER
ERR1249904,0.7764,OTHER
ERR1249910,0.8362,OTHER
ERR1249919,0.7624,OTHER
ERR1249930,0.7198,NORMAL
ERR1249932,0.6115,NORMAL
ERR1249944,0.7673,OTHER
ERR1249945,0.7545,OTHER
ERR1249948,0.5853,NORMAL
ERR1249949,0.7261,OTHER
ERR1249950,0.6159,NORMAL
ERR1249951,0.7082,NORMAL
ERR1249956,0.7511,OTHER
ERR1249962,0.5707,NORMAL
ERR1249967,0.6518,NORMAL
ERR1249969,0.716,NORMAL
ERR1249975,0.648,NORMAL
ERR1249979,0.7343,OTHER
ERR1249986,0.7236,NORMAL
ERR1249988,0.7032,NORMAL
ERR1249989,0.7862,OTHER
ERR1249990,0.7654,OTHER
ERR1249991,0.66,NORMAL
ERR1249993,0.9087,DEVIANT
ERR1249994,0.8153,OTHER
ERR1249995,0.7368,OTHER
ERR1249997,0.7002,NORMAL
ERR1249998,0.7318,OTHER
ERR1249999,0.7402,OTHER
ERR1250000,0.7545,OTHER
ERR1250002,0.8126,OTHER
ERR1250005,0.641,NORMAL
ERR1250006,0.799,OTHER
ERR1250007,0.8673,OTHER
ERR1250008,0.8222,OTHER
ERR1250009,0.7999,OTHER
ERR1250011,0.7071,NORMAL
ERR1250012,0.6567,NORMAL
ERR1250014,0.6207,NORMAL
ERR1250015,0.7843,OTHER
ERR1250016,0.8826,OTHER
ERR1250017,0.6778,NORMAL
ERR1250019,0.8698,OTHER
ERR1250020,0.7066,NORMAL
ERR1250021,0.7063,NORMAL
ERR1250022,0.9042,DEVIANT
ERR1250023,0.7518,OTHER
ERR1250025,0.7619,OTHER
ERR1250030,0.8435,OTHER
ERR1250032,0.534,NORMAL
ERR1250034,0.6859,NORMAL
ERR1250038,0.726,OTHER
ERR1250039,0.6957,NORMAL
ERR1250040,0.7125,NORMAL
ERR1250041,0.744,OTHER
ERR1250042,0.7591,OTHER
ERR1250043,0.8319,OTHER
ERR1250044,0.6996,NORMAL
ERR1250045,0.8406,OTHER
ERR1250046,0.8372,OTHER
ERR1250048,0.6653,NORMAL
ERR1250049,0.8863,OTHER
ERR1250051,0.7363,OTHER
ERR1250055,0.8784,OTHER
ERR1250056,0.7591,OTHER
ERR1250057,0.7101,NORMAL
ERR1250058,0.8301,OTHER
ERR1250060,0.8487,OTHER
ERR1250061,0.82,OTHER
ERR1250062,0.6482,NORMAL
ERR1250063,0.7534,OTHER
ERR1250064,0.6962,NORMAL
ERR1250065,0.775,OTHER
ERR1250072,0.6922,NORMAL
ERR1250075,0.7311,OTHER
ERR1250080,0.5751,NORMAL
ERR1250082,0.6128,NORMAL
ERR1250086,0.844,OTHER
ERR1250089,0.7418,OTHER
ERR1250090,0.6808,NORMAL
ERR1250094,0.7822,OTHER
ERR1250095,0.6798,NORMAL
ERR1250097,0.7041,NORMAL
ERR1250098,0.7256,NORMAL
ERR1250099,0.7367,OTHER
ERR1250100,0.7286,OTHER
ERR1250102,0.8555,OTHER
ERR1250104,0.8404,OTHER
ERR1250105,0.8445,OTHER
ERR1250107,0.685,NORMAL
ERR1250108,0.7058,NORMAL
ERR1250109,0.7318,OTHER
ERR1250111,0.7613,OTHER
ERR1250115,0.8377,OTHER
ERR1250116,0.684,NORMAL
ERR1250117,0.6984,NORMAL
ERR1250120,0.7764,OTHER
ERR1250126,0.786,OTHER
ERR1250127,0.7755,OTHER
ERR1250131,0.7596,OTHER
ERR1250132,0.8431,OTHER
ERR1250133,0.6751,NORMAL
ERR1250136,0.7828,OTHER
ERR1250140,0.6754,NORMAL
ERR1250142,0.6867,NORMAL
ERR1250147,0.7875,OTHER
ERR1250393,0.7324,OTHER
ERR1250475,0.769,OTHER
ERR1250483,0.6842,NORMAL
ERR1250508,0.7409,OTHER
ERR1250514,0.6543,NORMAL
ERR1250515,0.6603,NORMAL
ERR1250528,0.7211,NORMAL
ERR1250534,0.9745,DEVIANT
ERR1250538,0.7368,OTHER
ERR1250550,0.7138,NORMAL
ERR1250561,0.6192,NORMAL
ERR1250562,0.5755,NORMAL
ERR1250563,0.7316,OTHER
ERR1250567,0.6723,NORMAL
ERR1250568,0.7224,NORMAL
ERR1250569,0.6936,NORMAL
ERR1250571,0.6472,NORMAL
ERR1250574,0.8759,OTHER
ERR1250579,0.6746,NORMAL
ERR1250584,0.787,OTHER
ERR1250585,0.6653,NORMAL
ERR1250588,0.7225,NORMAL
ERR1250589,0.6625,NORMAL
ERR1250601,0.6464,NORMAL
ERR1250611,0.7371,OTHER
ERR1250613,0.8144,OTHER
ERR1250614,0.779,OTHER
ERR1250616,0.8077,OTHER
ERR1250620,0.7571,OTHER
ERR1250631,0.7548,OTHER
ERR1250635,0.8,OTHER
ERR1250636,0.6301,NORMAL
ERR1250638,0.6671,NORMAL
ERR1250647,0.7291,OTHER
ERR1250648,0.5379,NORMAL
ERR1315817,0.6515,NORMAL
ERR1315834,0.8177,OTHER
ERR1315835,0.5472,NORMAL
ERR1315840,0.7931,OTHER
ERR1315841,0.7145,NORMAL
ERR1315842,0.7215,NORMAL
ERR1315843,0.6226,NORMAL
ERR1315847,0.6386,NORMAL
ERR1315850,0.6829,NORMAL
ERR1315855,0.6939,NORMAL
ERR1315861,0.8527,OTHER
ERR1315880,0.6815,NORMAL
ERR1315890,0.6718,NORMAL
ERR1315897,0.6827,NORMAL
ERR1315907,0.7143,NORMAL
ERR1315911,0.8754,OTHER
ERR1315915,0.8581,OTHER
ERR1315916,0.8343,OTHER
ERR1315917,0.5795,NORMAL
ERR1315922,0.6361,NORMAL
ERR1315928,0.7993,OTHER
ERR1315935,0.6688,NORMAL
ERR1315961,0.6513,NORMAL
ERR1315985,0.6909,NORMAL
ERR1315989,0.7768,OTHER
ERR1315996,0.6916,NORMAL
ERR1316000,0.6929,NORMAL
ERR1316015,0.8012,OTHER
ERR1316029,0.7464,OTHER
ERR1316030,0.8228,OTHER
ERR1316037,0.7899,OTHER
ERR1316038,0.7383,OTHER
ERR1316048,0.5655,NORMAL
ERR1316053,0.895,DEVIANT
ERR1316063,0.8112,OTHER
ERR1316084,0.8403,OTHER
ERR1316085,0.9205,DEVIANT
ERR1316114,0.7672,OTHER
ERR1316141,0.7795,OTHER
ERR1316181,0.6422,NORMAL
ERR1316183,0.6866,NORMAL
ERR1316211,0.6838,NORMAL
ERR1389625,0.5664,NORMAL
ERR1389626,0.7432,OTHER
ERR1389640,0.6732,NORMAL
ERR1389645,0.7005,NORMAL
ERR1389646,0.7499,OTHER
ERR1389647,0.621,NORMAL
ERR1389648,0.6395,NORMAL
ERR1389656,0.8701,OTHER
ERR1389668,0.7964,OTHER
ERR1389669,0.7231,NORMAL
ERR1389671,0.7143,NORMAL
ERR1389672,0.6223,NORMAL
ERR1389675,0.7571,OTHER
ERR1389683,0.6733,NORMAL
ERR1389684,0.7857,OTHER
ERR1389685,0.8447,OTHER
ERR1389686,0.8213,OTHER
ERR1389687,0.761,OTHER
ERR1389690,0.6719,NORMAL
ERR1389696,0.8534,OTHER
ERR1389699,0.8235,OTHER
ERR1389703,0.6931,NORMAL
ERR1389706,0.6508,NORMAL
ERR1389707,0.7732,OTHER
ERR1389711,0.6627,NORMAL
ERR1389719,0.6096,NORMAL
ERR1389720,0.8423,OTHER
ERR1389726,0.7979,OTHER
ERR1389738,0.6466,NORMAL
ERR1389739,0.5551,NORMAL
ERR1389740,0.6808,NORMAL
ERR1389743,0.7636,OTHER
ERR1389747,0.6114,NORMAL
ERR1389749,0.6353,NORMAL
ERR1389750,0.7234,NORMAL
ERR1389754,0.7263,OTHER
ERR1389755,0.623,NORMAL
ERR1389758,0.7394,OTHER
ERR1389760,0.7148,NORMAL
ERR1389761,0.5903,NORMAL
ERR1389763,0.721,NORMAL
ERR1389766,0.7223,NORMAL
ERR1389768,0.7218,NORMAL
ERR1389770,0.5882,NORMAL
ERR1389772,0.6355,NORMAL
ERR1389773,0.6912,NORMAL
ERR1389781,0.6359,NORMAL
ERR1389783,0.6451,NORMAL
ERR1389787,0.7117,NORMAL
ERR1389788,0.576,NORMAL
ERR1389791,0.6877,NORMAL
ERR1389795,0.6362,NORMAL
ERR1389796,0.6715,NORMAL
ERR1389798,0.7721,OTHER
ERR1389801,0.7241,NORMAL
ERR1389804,0.7654,OTHER
ERR1389805,0.8591,OTHER
ERR1389806,0.763,OTHER
ERR1389807,0.6178,NORMAL
ERR1389808,0.7443,OTHER
ERR1389815,0.6056,NORMAL
ERR1389821,0.6431,NORMAL
ERR1389822,0.7235,NORMAL
ERR1389824,0.5918,NORMAL
ERR1389827,0.858,OTHER
ERR1389831,0.6619,NORMAL
ERR1389834,0.7429,OTHER
ERR1389835,0.6323,NORMAL
ERR1389836,0.6996,NORMAL
ERR1389837,0.7046,NORMAL
ERR1389839,0.6364,NORMAL
ERR1389840,0.6275,NORMAL
ERR1389841,0.7007,NORMAL
ERR1389845,0.5618,NORMAL
ERR1389847,0.6341,NORMAL
ERR1389849,0.6879,NORMAL
ERR1389850,0.6048,NORMAL
ERR1389858,0.9027,DEVIANT
ERR1389864,0.7172,NORMAL
ERR1389865,0.7095,NORMAL
ERR1389866,0.7662,OTHER
ERR1389867,0.8409,OTHER
ERR1389881,0.6926,NORMAL
ERR1389883,0.762,OTHER
ERR1389889,0.7038,NORMAL
ERR1389893,0.7159,NORMAL
ERR1389916,0.7073,NORMAL
ERR1389918,0.7072,NORMAL
ERR1389922,0.6727,NORMAL
ERR1389923,0.8539,OTHER
ERR1389929,0.7201,NORMAL
ERR1389930,0.7204,NORMAL
ERR1389931,0.7926,OTHER
ERR1389933,0.6956,NORMAL
