sample-id,score,group
ERR1073875,0.7069,NORMAL
ERR1073876,0.7801,OTHER
ERR1073900,0.7024,NORMAL
ERR1073903,0.8138,OTHER
ERR1073905,0.8332,OTHER
ERR1073915,0.713,NORMAL
ERR1073919,0.7214,NORMAL
ERR1073920,0.6335,NORMAL
ERR1073922,0.6893,NORMAL
ERR1073923,0.7474,OTHER
ERR1073930,0.6782,NORMAL
ERR1073941,0.7362,OTHER
ERR1073944,0.879,OTHER
ERR1073952,0.5374,NORMAL
ERR1073953,0.6597,NORMAL
ERR1073955,0.7168,NORMAL
ERR1073966,0.7311,OTHER
ERR1073969,0.8321,OTHER
ERR1073970,0.7331,OTHER
ERR1073974,0.6611,NORMAL
ERR1073976,0.8008,OTHER
ERR1073979,0.6935,NORMAL
ERR1073982,0.7127,NORMAL
ERR1073983,0.6849,NORMAL
ERR1073988,0.8219,OTHER
ERR1073993,0.7626,OTHER
ERR1073998,0.8361,OTHER
ERR1074003,0.7354,OTHER
ERR1074004,0.7885,OTHER
ERR1074016,0.7795,OTHER
ERR1074017,0.7371,OTHER
ERR1074021,0.8354,OTHER
ERR1074022,0.7461,OTHER
ERR1074023,0.6025,NORMAL
ERR1074036,0.7866,OTHER
ERR1074039,0.6728,NORMAL
ERR1074040,0.6933,NORMAL
ERR1074057,0.6967,NORMAL
ERR1074058,0.7416,OTHER
ERR1074060,0.6511,NORMAL
ERR1074074,0.8511,OTHER
ERR1074089,0.7003,NORMAL
ERR1074091,0.8632,OTHER
ERR1074095,0.6304,NORMAL
ERR1074169,0.7466,OTHER
ERR1074181,0.7838,OTHER
ERR1074195,0.8047,OTHER
ERR1074220,0.7339,OTHER
ERR1074289,0.8305,OTHER
ERR1074291,0.7135,NORMAL
ERR1074307,0.6226,NORMAL
ERR1074310,0.9542,DEVIANT
ERR1074312,0.7412,OTHER
ERR1074329,0.6721,NORMAL
ERR1074336,0.7434,OTHER
ERR1074374,0.8082,OTHER
ERR1074378,0.7471,OTHER
ERR1074385,0.6278,NORMAL
ERR1074394,0.7847,OTHER
